province;population
KOURWEOGO;138217
KOULPELOGO;258667
KOMANDJARI;79507
PASSORE;323222
SANGUIE;297036
ZOUNDWEOGO;245947
BALE;213423
KENEDOUGOU;285695
COMOE;407528
SENO;498008
TUY;228458
BOULKIEMDE;505206
LOROUM;142853
BAZEGA;238425
GANZOURGOU;319380
BAM; 275191
IOBA;192321
KADIOGO;1727390
GOURMA;305936
NAYALA;163433
OUBRITENGA;238775
KOSSI;278546
KOURITENGA;329779
GNAGNA;408669
NAHOURI;157071
SANMATENGA;598014
NAMENTENGA;328820
OUDALAN;195964
SISSILI;208409
SOUM; 347335
TAPOA;342305
YATENGA;553164
ZONDOMA;166557
BANWA;269375
BOUGOURIBA;101479
MOUHOUN;297350
BOULGOU;543570
HOUET;955451
KOMPIENGA;75867
LERABA;124280
PONI;256931
SOUROU;220662
YAGHA;160152
ZIRO;175915
NOUMBIEL;70036
